ProductCode;Category
PROD000001;Electronics
PROD000002;Clothing
PROD000003;Books
PROD000004;Home
PROD000005;Sports
PROD000006;Electronics
PROD000007;Clothing
PROD000008;Books
PROD000009;Home
PROD000010;Sports
PROD000011;Electronics
PROD000012;Clothing
PROD000013;Books
PROD000014;Home
PROD000015;Sports
PROD000016;Electronics
PROD000017;Clothing
PROD000018;Books
PROD000019;Home
PROD000020;Sports
PROD000021;Electronics
PROD000022;Clothing
PROD000023;Books
PROD000024;Home
PROD000025;Sports
PROD000026;Electronics
PROD000027;Clothing
PROD000028;Books
PROD000029;Home
PROD000030;Sports
PROD000031;Electronics
PROD000032;Clothing
PROD000033;Books
PROD000034;Home
PROD000035;Sports
PROD000036;Electronics
PROD000037;Clothing
PROD000038;Books
PROD000039;Home
PROD000040;Sports
PROD000041;Electronics
PROD000042;Clothing
PROD000043;Books
PROD000044;Home
PROD000045;Sports
PROD000046;Electronics
PROD000047;Clothing
PROD000048;Books
PROD000049;Home
PROD000050;Sports
PROD000051;Electronics
PROD000052;Clothing
PROD000053;Books
PROD000054;Home
PROD000055;Sports
PROD000056;Electronics
PROD000057;Clothing
PROD000058;Books
PROD000059;Home
PROD000060;Sports
PROD000061;Electronics
PROD000062;Clothing
PROD000063;Books
PROD000064;Home
PROD000065;Sports
PROD000066;Electronics
PROD000067;Clothing
PROD000068;Books
PROD000069;Home
PROD000070;Sports
PROD000071;Electronics
PROD000072;Clothing
PROD000073;Books
PROD000074;Home
PROD000075;Sports
PROD000076;Electronics
PROD000077;Clothing
PROD000078;Books
PROD000079;Home
PROD000080;Sports
PROD000081;Electronics
PROD000082;Clothing
PROD000083;Books
PROD000084;Home
PROD000085;Sports
PROD000086;Electronics
PROD000087;Clothing
PROD000088;Books
PROD000089;Home
PROD000090;Sports
PROD000091;Electronics
PROD000092;Clothing
PROD000093;Books
PROD000094;Home
PROD000095;Sports
PROD000096;Electronics
PROD000097;Clothing
PROD000098;Books
PROD000099;Home
PROD000100;Sports
PROD000101;Electronics
PROD000102;Clothing
PROD000103;Books
PROD000104;Home
PROD000105;Sports
PROD000106;Electronics
PROD000107;Clothing
PROD000108;Books
PROD000109;Home
PROD000110;Sports
PROD000111;Electronics
PROD000112;Clothing
PROD000113;Books
PROD000114;Home
PROD000115;Sports
PROD000116;Electronics
PROD000117;Clothing
PROD000118;Books
PROD000119;Home
PROD000120;Sports
PROD000121;Electronics
PROD000122;Clothing
PROD000123;Books
PROD000124;Home
PROD000125;Sports
PROD000126;Electronics
PROD000127;Clothing
PROD000128;Books
PROD000129;Home
PROD000130;Sports
PROD000131;Electronics
PROD000132;Clothing
PROD000133;Books
PROD000134;Home
PROD000135;Sports
PROD000136;Electronics
PROD000137;Clothing
PROD000138;Books
PROD000139;Home
